,cid,molecular_weight,atom_stereo_count,bond_stereo_count,cactvs_fingerprint,charge,complexity,conformer_id_3d,conformer_rmsd_3d,covalent_unit_count,defined_atom_stereo_count,defined_bond_stereo_count,exact_mass,feature_selfoverlap_3d,fingerprint,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,isotope_atom_count,monoisotopic_mass,rotatable_bond_count,tpsa,undefined_atom_stereo_count,undefined_bond_stereo_count,xlogp
0,60961,267.24,4,0,11000000011100111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000000000100000000100000000000000000000000100000011100111000011001011100000110000001011111000010111111010011000001011000000000101000000000000100000110011000010110010000000000100000001000000000101101000100010001000010100000000000010101000000100000001010000101010000010000100000110101100000000010010000001100100001000000000111100100010000001000000011110000000000000010110100110000000000100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,335.0,,,1,4,0,267.09675391,,00000371C073B8000000000000000000000000000001624000002C000000000000005801F800001E0010080000081CE1970605F0BF4C1600A0010661640080802D1110A001502028541083580240C8401E44080F0002D30020F030020000000000000000000000000000000000000000000000,8,4,19,0,267.09675391,2,140.0,0,0,-1.1
1,6083,347.22,4,0,11000000011100111011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000000000100000000100000100000000000000000100000011100111000011001011100000110000001011111000010111111010011000001011100010000101000000100000100000110011000010110010010000000100000001000000000101101000100010001000010100000000000010101000000100000001010000101010000010000100000110101100000000010010000001100100001000000000111100100010000001000000011110000000000000010110100110000000000100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,481.0,,,1,4,0,347.06308480,,00000371C073B8020000000000000000000000000001624000002C000000000000005801F800001E0010082000081CE1970605F0BF4C1710A0410661648080802D1110A001502028541083580240C8401E44080F0002D30020F030020000000000000000000000000000000000000000000000,11,5,23,0,347.06308480,4,186.0,0,0,-3.5
2,445468,692.0,1,0,11110000011111100011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000010100111000011000000000000110000000100000100000000000010000000000010100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000110000000000010010000000000000000000000000000000100000000000000000000001010001000000000000000000100000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,754.0,,,1,1,0,691.51520532,,00000371F07E3C02000000000000000000000000000000000000000000000000000000000000001E00100820000814E1800602080040051008400090088000000000000000008100000003001200000002000005100002000188C8A08000000000000000000000000000000000000000000000,9,2,47,0,691.51520532,39,134.0,0,0,10.3
3,5282280,378.5,0,4,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,445.0,,,1,0,4,378.27700969,,00000371F0783800000000000000000000000000000000000000000000000000000000000000001A00000800000814A08002020800000600880020D208000000002000000808010000080110120001000240000580000B00038800000000000000000000000000000000000000000000000000,4,2,27,0,378.27700969,18,66.8,0,0,5.3
4,312,35.45,0,0,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1,0.0,,,1,0,0,34.9688527,,00000371000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,1,0,34.9688527,0,0.0,0,0,0.8
5,6166,330.5,6,0,11100000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100000100101000001000000000000010000000100000000000000000000000000000001000000000100010000000001010100000010100100000000000000010000000000000000000000000001000000000000000000000000000000000100000000001010000000000000001001000000000000001000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000100000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000,0,606.0,,,1,6,0,330.21949481,,00000371E0783000000000000000000000000000000180000000306080000000000060C00000001A00000800000F04A080020200000002008802A052000200000020000000080140004800101200010000400004800008010388C8F08F80000000000000008000040000200001000008000000,3,1,24,0,330.21949481,2,54.4,0,0,2.9
6,6076,329.21,4,0,11000000011100111011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000100100000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000000000100000000100000100000000000000000100000011100111000011001011100000110000001011111000010111111010011000001011100010000101000000100000100000110011000010110010010000000100000001000000000101101000100010001000010100000000000010101000000100000001010000101010000010000100000110101100000000010010000001100100001000000000111100100010000001000000011110000000000000010110100110000000000100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,498.0,,,1,4,0,329.05252012,,00000371C073B8020000000000000000000000000001624000002C480000000000005801F800001E0010082000081CE1970605F0BF4C1710A0410661648080802D1110A001502028541083580240C8401E44080F0002D30020F030020000000000000000000000000000000000000000000000,10,3,22,0,329.05252012,1,155.0,0,0,-2.6
7,977,31.999,0,0,00000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.0,,,1,0,0,31.989829239,,00000371000030000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,0,2,0,31.989829239,0,34.1,0,0,-1.1
8,5960,133.10,1,0,10000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000011000000000000000000000000000000000000100000000000000000001100001000000000000000000000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,133.0,,,1,1,0,133.03750770,,0000037180623800000000000000000000000000000000000000000000000000000000000000001E00100800000828C180040008004002000800009008000000000000000000818000000200180000000040000610000000004300000000000000000000000000000000000000000000000000,5,3,9,0,133.03750770,3,101.0,0,0,-2.8
9,6022,427.20,4,0,11000000011100111011110000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000000000100000000100000100000000000000000100000011100111000011001011100000110000001011111000010111111010011000001011100010000101000000100000100000110011000010110010010000000100000001000000000101101000100010001000010100000000000010101000000100000001010000101010000010000100000110101100000000010010000001100100001000000000111100100010000001000000011110000000000000010110100110000000000100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,638.0,,,1,4,0,427.02941569,,00000371C073BC030000000000000000000000000001624000002C000000000000005801F800001E0010082000081CE1970605F0BF4C1710A0410661648080802D1110A001502028541083580240C8401E44080F0002D30020F030020000000000000000000000000000000000000000000000,14,6,27,0,427.02941569,6,233.0,0,0,-4.6
