,HMDB,PubChem_id,Protein,Uniprot,Combined
0,HMDB0000050,60961,SCNN1A,P37088,786.0
1,HMDB0000045,6083,CXCR6,O00574,176.0
2,HMDB0000050,60961,CXCR6,O00574,921.0
3,HMDB0008923,445468,CXCR6,O00574,322.0
4,HMDB0004666,5282280,CXCR6,O00574,910.0
5,HMDB0000492,312,CXCR6,O00574,162.0
6,HMDB0000016,6166,CXCR6,O00574,174.0
7,HMDB0000058,6076,CXCR6,O00574,187.0
8,HMDB0000045,6083,MC1R,Q01726,176.0
9,HMDB0000050,60961,MC1R,Q01726,921.0
10,HMDB0008923,445468,MC1R,Q01726,322.0
11,HMDB0000492,312,MC1R,Q01726,162.0
12,HMDB0000016,6166,MC1R,Q01726,174.0
13,HMDB0000058,6076,MC1R,Q01726,355.0
14,HMDB0000045,6083,GPR22,Q99680,176.0
15,HMDB0000050,60961,GPR22,Q99680,237.0
16,HMDB0008923,445468,GPR22,Q99680,322.0
17,HMDB0000492,312,GPR22,Q99680,162.0
18,HMDB0000016,6166,GPR22,Q99680,174.0
19,HMDB0000058,6076,GPR22,Q99680,187.0
20,HMDB0000045,6083,NPFFR2,Q9Y5X5,279.0
21,HMDB0000050,60961,NPFFR2,Q9Y5X5,294.0
22,HMDB0008923,445468,NPFFR2,Q9Y5X5,322.0
23,HMDB0000492,312,NPFFR2,Q9Y5X5,162.0
24,HMDB0000016,6166,NPFFR2,Q9Y5X5,174.0
25,HMDB0000058,6076,NPFFR2,Q9Y5X5,187.0
26,HMDB0000045,6083,TAAR8,Q969N4,176.0
27,HMDB0000050,60961,TAAR8,Q969N4,237.0
28,HMDB0008923,445468,TAAR8,Q969N4,322.0
29,HMDB0000492,312,TAAR8,Q969N4,162.0
30,HMDB0000016,6166,TAAR8,Q969N4,174.0
31,HMDB0000058,6076,TAAR8,Q969N4,187.0
32,HMDB0001377,977,EPOR,P19235,858.0
33,HMDB0000191,5960,GRM8,O00222,800.0
34,HMDB0000050,60961,SLC5A7,Q9GZV3,618.0
35,HMDB0000492,312,GUCY1A2,P33402,450.0
36,HMDB0000045,6083,P2RY2,P41231,600.0
37,HMDB0001341,6022,P2RY2,P41231,920.0
38,HMDB0007855,5497152,LPAR3,Q9UBY5,430.71148036253777
39,HMDB0007855,5497152,LPAR3,Q9UBY5,430.71148036253777
40,HMDB0000045,6083,LPAR3,Q9UBY5,176.0
41,HMDB0000050,60961,LPAR3,Q9UBY5,928.0
42,HMDB0008923,445468,LPAR3,Q9UBY5,322.0
43,HMDB0004666,5282280,LPAR3,Q9UBY5,910.0
44,HMDB0000492,312,LPAR3,Q9UBY5,162.0
45,HMDB0000016,6166,LPAR3,Q9UBY5,174.0
46,HMDB0007853,89566,LPAR3,Q9UBY5,324.0
47,HMDB0000058,6076,LPAR3,Q9UBY5,300.0
48,HMDB0001341,6022,EPHA7,Q15375,955.0
49,HMDB0000492,312,EPHA7,Q15375,800.0
50,HMDB0000050,60961,SLC5A8,Q8N695,596.0
51,HMDB0000058,6076,TRPV4,Q9HBA0,900.0
52,HMDB0000067,5997,NPC1L1,Q9UHC9,936.0
53,HMDB0000050,60961,ASIC3,Q9UHC3,429.0
54,HMDB0000492,312,NPR2,P20594,735.0
55,HMDB0000045,6083,CXCR4,P61073,176.0
56,HMDB0000050,60961,CXCR4,P61073,986.0
57,HMDB0008923,445468,CXCR4,P61073,322.0
58,HMDB0004666,5282280,CXCR4,P61073,910.0
59,HMDB0000492,312,CXCR4,P61073,282.0
60,HMDB0000016,6166,CXCR4,P61073,174.0
61,HMDB0000058,6076,CXCR4,P61073,277.0
62,HMDB0000050,60961,CXCR4,P61073,986.0
63,HMDB0000191,5960,GRIK1,P39086,908.0
64,HMDB0000045,6083,RXFP4,Q8TDU9,176.0
65,HMDB0000050,60961,RXFP4,Q8TDU9,921.0
66,HMDB0008923,445468,RXFP4,Q8TDU9,322.0
67,HMDB0004666,5282280,RXFP4,Q8TDU9,910.0
68,HMDB0000492,312,RXFP4,Q8TDU9,162.0
69,HMDB0000016,6166,RXFP4,Q8TDU9,174.0
70,HMDB0000058,6076,RXFP4,Q8TDU9,187.0
71,HMDB0001341,6022,IFNGR2,P38484,900.0
72,HMDB0001341,6022,RIGI,O95786,962.0
73,HMDB0000492,312,RIGI,O95786,814.0
74,HMDB0000045,6083,CCR9,P51686,176.0
75,HMDB0000050,60961,CCR9,P51686,921.0
76,HMDB0008923,445468,CCR9,P51686,322.0
77,HMDB0004666,5282280,CCR9,P51686,910.0
78,HMDB0000492,312,CCR9,P51686,162.0
79,HMDB0000016,6166,CCR9,P51686,174.0
80,HMDB0000058,6076,CCR9,P51686,187.0
81,HMDB0000058,6076,SLC10A1,Q14973,834.0
82,HMDB0000045,6083,MC4R,P32245,176.0
83,HMDB0000050,60961,MC4R,P32245,928.0
84,HMDB0008923,445468,MC4R,P32245,322.0
85,HMDB0000492,312,MC4R,P32245,162.0
86,HMDB0000016,6166,MC4R,P32245,174.0
87,HMDB0000058,6076,MC4R,P32245,347.0
88,HMDB0000125,124886,PPARG,P37231,825.0
89,HMDB0000492,312,PPARG,P37231,823.0
90,HMDB0000067,5997,PPARG,P37231,762.0
91,HMDB0000050,60961,ADORA1,P30542,430.71148036253777
92,HMDB0000050,60961,ADORA1,P30542,430.71148036253777
93,HMDB0000050,60961,ADORA1,P30542,430.71148036253777
94,HMDB0000050,60961,ADORA1,P30542,430.71148036253777
95,HMDB0000050,60961,ADORA1,P30542,430.71148036253777
96,HMDB0000050,60961,ADORA1,P30542,430.71148036253777
